Date;Price;Open;High;Low;Vol;Change %
Apr 18. 2020;7230.80;7035.90;7259.40;7031.50;79645K;2.77%
Apr 17. 2020;7035.80;7085.50;7142.80;7005.80;81010K;-0.70%
Apr 16. 2020;7085.60;6629.10;7159.70;6520.50;154M;6.89%
Apr 15. 2020;6629.10;6851.30;6929.50;6615.90;100M;-3.24%
Apr 14. 2020;6850.90;6841.80;6970.80;6768.60;99953K;0.14%
Apr 13. 2020;6841.30;6918.10;6920.30;6618.50;125M;-1.10%
Apr 12. 2020;6917.60;6867.90;7158.80;6785.10;110M;0.73%
Apr 11. 2020;6867.80;6862.70;6931.40;6765.10;84558K;0.07%
Apr 10. 2020;6863.10;7289.00;7294.40;6756.10;137M;-5.84%
Apr 09. 2020;7289.00;7361.10;7361.10;7140.30;96355K;-0.98%
Apr 08. 2020;7361.20;7185.60;7396.10;7153.10;98394K;2.45%
Apr 07. 2020;7185.20;7332.30;7440.30;7101.70;132M;-2.01%
Apr 06. 2020;7332.30;6772.80;7335.00;6770.10;153M;8.26%
Apr 05. 2020;6772.70;6857.50;6889.40;6686.00;84233K;-1.23%
Apr 04. 2020;6857.40;6735.90;6958.60;6679.10;105M;1.80%
Apr 03. 2020;6735.90;6799.90;7026.30;6623.60;135M;-0.95%
Apr 02. 2020;6800.50;6638.80;7182.70;6567.90;174M;2.44%
Apr 01. 2020;6638.50;6412.40;6661.30;6157.40;140M;3.52%
Mar 31. 2020;6412.50;6391.10;6513.10;6346.30;105M;0.34%
Mar 30. 2020;6391.00;5890.40;6576.50;5872.50;143M;8.50%
Mar 29. 2020;5890.40;6233.20;6258.80;5889.30;91617K;-5.51%
Mar 28. 2020;6233.70;6373.40;6374.30;6046.50;126M;-2.19%
Mar 27. 2020;6373.40;6725.50;6813.70;6322.30;116M;-5.23%
Mar 26. 2020;6725.10;6677.90;6772.90;6541.70;118M;0.69%
Mar 25. 2020;6678.90;6744.80;6930.20;6474.60;152M;-0.97%
Mar 24. 2020;6744.60;6468.80;6814.20;6380.80;173M;4.26%
Mar 23. 2020;6468.90;5822.00;6564.70;5710.80;188M;11.11%
Mar 22. 2020;5822.10;6186.90;6394.40;5771.20;148M;-5.89%
Mar 21. 2020;6186.20;6205.60;6438.30;5887.00;164M;-0.31%
Mar 20. 2020;6205.30;6171.60;6858.10;5748.20;222M;0.54%
Mar 19. 2020;6172.00;5359.20;6379.50;5256.00;218M;15.12%
Mar 18. 2020;5361.40;5260.70;5373.10;5020.90;180M;1.91%
Mar 17. 2020;5261.10;5030.20;5432.80;4946.50;189M;4.59%
Mar 16. 2020;5030.00;5366.40;5369.30;4477.70;255M;-6.27%
Mar 15. 2020;5366.30;5182.90;5863.30;5120.60;161M;3.54%
Mar 14. 2020;5182.70;5589.40;5634.90;5072.20;169M;-7.19%
Mar 13. 2020;5584.30;4815.20;5934.30;3869.50;417M;15.71%
