Date;Price;Open;High;Low;Vol;Change %
Sep 01. 2021;48819.40;47129.20;49121.00;46533.10;7438K;3.58%
Aug 31. 2021;47130.40;46989.10;48217.00;46709.30;7148K;0.29%
Aug 30. 2021;46992.70;48777.10;48886.00;46876.90;6168K;-3.66%
Aug 29. 2021;48777.40;48899.70;49621.70;47870.10;4762K;-0.24%
Aug 28. 2021;48897.10;49062.80;49289.40;48428.50;3673K;-0.34%
Aug 27. 2021;49064.30;46830.20;49142.00;46371.50;6247K;4.77%
Aug 26. 2021;46831.60;48994.40;49347.80;46360.40;7379K;-4.41%
Aug 25. 2021;48994.50;47707.40;49230.20;47163.30;6354K;2.68%
Aug 24. 2021;47714.70;49532.50;49847.40;47623.60;7426K;-3.68%
Aug 23. 2021;49539.70;49255.40;50498.80;49038.60;7537K;0.58%
Aug 22. 2021;49254.50;48870.40;49480.30;48151.00;4932K;0.77%
Aug 21. 2021;48875.80;49330.00;49719.10;48293.50;1820K;-0.91%
Aug 20. 2021;49324.00;46756.70;49343.30;46646.80;8319K;5.49%
Aug 19. 2021;46755.90;44725.90;47012.30;43986.70;7792K;4.54%
Aug 18. 2021;44723.80;44691.10;46004.90;44230.00;2236K;0.07%
Aug 17. 2021;44691.60;45907.50;47140.60;44441.30;8414K;-2.84%
Aug 16. 2021;45996.30;46991.60;48002.40;45672.10;241K;-2.12%
Aug 15. 2021;46991.30;47082.60;47344.10;45564.10;5811K;-0.19%
Aug 14. 2021;47081.50;47809.60;48090.90;46117.20;6429K;-1.52%
Aug 13. 2021;47809.10;44404.00;47836.00;44242.40;7527K;7.67%
Aug 12. 2021;44403.40;45562.30;46213.80;43814.70;8107K;-2.55%
Aug 11. 2021;45564.30;45593.20;46736.50;45367.90;7543K;-0.06%
Aug 10. 2021;45593.80;46281.80;46663.40;44681.20;8055K;-1.49%
Aug 09. 2021;46284.30;43794.90;46460.70;42824.10;11708K;5.69%
Aug 08. 2021;43792.80;44584.90;45284.10;43314.40;10525K;-1.84%
Aug 07. 2021;44614.20;42784.70;44697.30;42611.00;11284K;4.25%
Aug 06. 2021;42795.40;40868.40;43253.40;39905.40;11193K;4.72%
Aug 05. 2021;40867.20;39734.40;41366.30;37365.40;13060K;2.84%
Aug 04. 2021;39736.90;38188.40;39956.50;37556.00;7922K;4.21%
Aug 03. 2021;38130.30;39167.40;39766.60;37688.20;026K;-2.65%
Aug 02. 2021;39168.40;39869.80;40449.00;38692.50;7481K;-1.78%
Aug 01. 2021;39878.30;41510.00;42565.00;39556.50;8033K;-4.03%
Jul 31. 2021;41553.70;42201.40;42285.30;41066.40;4465K;-1.54%
Jul 30. 2021;42203.40;40001.10;42264.40;38358.40;9845K;5.50%
Jul 29. 2021;40001.40;40009.00;40630.70;39340.80;7530K;0.00%
Jul 28. 2021;40003.20;39450.40;40862.20;38883.80;14892K;1.40%
Jul 27. 2021;39452.00;37294.30;39455.90;36427.40;10024K;5.84%
Jul 26. 2021;37276.60;35392.30;40522.90;35236.70;17763K;5.33%
Jul 25. 2021;35391.10;34392.50;35391.10;33881.30;6510K;4.63%
Jul 24. 2021;33824.80;33600.50;33955.00;33412.90;6714K;0.66%
Jul 23. 2021;33603.30;32297.90;33605.60;32041.10;6615K;4.04%
Jul 22. 2021;32298.90;32131.70;32585.40;31729.40;6487K;0.52%
Jul 21. 2021;32131.40;29794.70;32794.60;29519.30;11834K;7.85%
Jul 20. 2021;29793.80;30835.40;31040.80;29310.20;9746K;-3.38%
Jul 19. 2021;30837.20;31782.90;31887.00;30478.20;7748K;-2.98%
Jul 18. 2021;31785.40;31517.90;32408.20;31220.60;5701K;0.85%
Jul 17. 2021;31518.60;31384.40;31914.80;31207.80;5806K;0.40%
Jul 16. 2021;31394.00;31842.30;32239.80;31062.20;7048K;-1.40%
Jul 15. 2021;31840.50;32820.50;33157.00;31175.80;7695K;-2.99%
Jul 14. 2021;32820.70;32727.80;33051.90;31611.20;6956K;0.28%
Jul 13. 2021;32728.10;33106.10;33307.70;32259.50;6004K;-1.16%
Jul 12. 2021;33113.00;34228.30;34598.00;32662.80;6324K;-3.26%
Jul 11. 2021;34227.70;33510.80;34580.60;33319.80;3572K;2.14%
Jul 10. 2021;33510.60;33797.70;34221.00;33056.80;5094K;-0.85%
Jul 09. 2021;33797.40;32866.30;34079.20;32367.00;6714K;2.83%
Jul 08. 2021;32866.30;33859.40;33923.20;32146.90;10809K;-2.96%
Jul 07. 2021;33867.80;34228.70;35036.60;33801.30;7203K;-1.05%
Jul 06. 2021;34225.60;33688.50;35062.00;33581.70;8363K;1.60%
Jul 05. 2021;33687.80;35297.00;35300.50;33164.10;8836K;-4.56%
Jul 04. 2021;35298.20;34742.80;35957.60;34740.10;5613K;1.60%
Jul 03. 2021;34742.80;33814.20;34909.80;33363.30;5569K;2.75%
Jul 02. 2021;33813.40;33542.20;33925.90;32734.60;7893K;0.80%
Jul 01. 2021;33543.60;35030.70;35032.70;32839.20;2741K;-4.23%
Jun 30. 2021;35026.90;35832.60;36089.50;34126.60;10707K;-2.25%
Jun 29. 2021;35834.70;34477.30;36590.30;34247.60;9727K;3.94%
Jun 28. 2021;34475.90;34682.20;35231.20;33944.90;11200K;-0.58%
Jun 27. 2021;34678.50;32247.10;34685.50;32041.70;14880K;7.55%
Jun 26. 2021;32243.40;31592.10;32643.00;30206.90;15667K;2.06%
Jun 25. 2021;31594.00;34660.50;35490.90;31337.90;19343K;-8.86%
Jun 24. 2021;34665.80;33678.10;35249.90;32356.70;11925K;2.94%
Jun 23. 2021;33674.30;32498.30;34784.30;31736.50;17334K;3.62%
Jun 22. 2021;32496.40;31682.70;33272.50;28901.80;30965K;2.54%
Jun 21. 2021;31692.00;35597.90;35708.40;31284.10;25687K;-10.97%
Jun 20. 2021;35595.80;35510.90;36097.90;33378.00;13748K;0.23%
Jun 19. 2021;35513.40;35770.00;36357.30;34845.50;10546K;-0.66%
Jun 18. 2021;35749.40;38045.50;38166.00;35198.50;10284K;-6.05%
Jun 17. 2021;38052.00;38337.80;39529.90;37425.30;10958K;-0.74%
Jun 16. 2021;38336.00;40148.10;40494.40;38156.40;12352K;-4.53%
Jun 15. 2021;40156.10;40522.50;41318.00;39589.90;11755K;-0.92%
Jun 14. 2021;40529.40;39024.10;40970.40;38769.90;15735K;3.86%
Jun 13. 2021;39022.90;35467.50;39321.60;34827.00;12332K;10.02%
Jun 12. 2021;35467.50;37334.40;37437.30;34703.30;8773K;-4.95%
Jun 11. 2021;37314.60;36654.30;37641.10;36003.30;10915K;1.81%
Jun 10. 2021;36649.40;37375.20;38340.80;35824.00;15432K;-1.83%
Jun 09. 2021;37332.20;33385.50;37517.60;32428.60;20982K;11.83%
Jun 08. 2021;33382.90;33574.60;34047.80;31158.10;19354K;-0.58%
Jun 07. 2021;33578.00;35815.40;36754.60;33410.10;11950K;-6.25%
Jun 06. 2021;35815.40;35518.70;36434.00;35265.30;6220K;0.83%
Jun 05. 2021;35520.00;36841.20;37887.60;34832.00;10148K;-3.61%
Jun 04. 2021;36851.30;39191.40;39255.40;35659.90;12771K;-5.96%
Jun 03. 2021;39187.30;37555.70;39462.30;37193.60;10644K;4.34%
Jun 02. 2021;37555.80;36687.70;38199.90;35981.10;9689K;2.37%
Jun 01. 2021;36687.60;37294.30;37850.30;35742.70;11348K;-1.64%
May 31. 2021;37298.60;35644.00;37480.70;34213.20;13170K;4.62%
May 30. 2021;35652.80;34589.30;36388.60;33441.00;10418K;3.09%
May 29. 2021;34584.60;35664.50;37227.10;33664.20;16043K;-3.02%
May 28. 2021;35662.50;38543.20;38844.10;34772.40;19958K;-7.17%
May 27. 2021;38417.30;39249.00;40322.20;37190.80;12293K;-2.12%
May 26. 2021;39249.20;38375.70;40750.00;37847.00;15380K;2.27%
May 25. 2021;38378.30;38753.60;39740.80;36540.70;16301K;-0.96%
May 24. 2021;38750.60;34720.30;39851.70;34474.60;24488K;11.74%
May 23. 2021;34679.70;37446.80;38248.70;31192.40;32573K;-7.39%
May 22. 2021;37448.30;37291.00;38776.00;35314.90;18583K;0.40%
May 21. 2021;37297.40;40611.20;42108.30;33592.30;31550K;-8.40%
May 20. 2021;40717.20;36706.80;42425.90;35010.40;26975K;10.88%
